MR_ANIMALID,MR_TREATMENTTYPE,MR_TREATMENTDATE
1,Heartworm Prevention,2024-04-26
1,Annual Checkup,2022-03-02
1,Deworming,2023-03-29
1,Vaccination - FVRCP,2023-03-11
1,Blood Test,2023-03-24
1,Blood Test,2022-12-01
2,Tick Treatment,2022-07-19
2,Dental Cleaning,2022-04-25
3,Tick Treatment,2023-11-16
3,Tick Treatment,2022-07-03
3,Neuter Surgery,2024-04-02
3,Blood Test,2023-10-24
3,Vaccination - DHPP,2024-01-30
3,Spay Surgery,2024-11-15
4,Neuter Surgery,2022-10-08
4,Spay Surgery,2022-10-08
4,Spay Surgery,2023-10-09
4,Vaccination - DHPP,2023-06-22
4,Vaccination - DHPP,2022-04-26
4,Spay Surgery,2023-01-07
4,Flea Treatment,2023-01-18
4,Heartworm Prevention,2023-08-26
4,Neuter Surgery,2022-02-03
5,Dental Cleaning,2024-08-05
6,Annual Checkup,2024-12-06
6,Deworming,2024-05-14
6,Flea Treatment,2022-04-14
6,Deworming,2022-09-09
7,Neuter Surgery,2023-01-14
7,Annual Checkup,2022-04-03
8,Microchip Implant,2024-01-10
8,Tick Treatment,2022-12-29
8,Heartworm Prevention,2024-06-11
8,Follow-up Check,2022-07-17
8,Blood Test,2022-12-04
8,Follow-up Check,2023-10-12
10,Heartworm Prevention,2024-10-16
10,Blood Test,2022-11-16
10,Vaccination - Rabies,2022-02-25
10,Tick Treatment,2024-12-02
10,Blood Test,2024-04-20
10,Vaccination - Rabies,2024-08-17
11,X-ray Examination,2022-11-15
11,Tick Treatment,2022-10-10
11,Flea Treatment,2024-09-09
11,Deworming,2024-01-20
11,Microchip Implant,2022-08-21
11,Heartworm Prevention,2023-08-23
13,Microchip Implant,2024-04-03
13,Microchip Implant,2022-02-19
13,Flea Treatment,2023-02-17
13,Vaccination - DHPP,2022-10-02
13,Flea Treatment,2022-03-03
13,Flea Treatment,2022-10-20
14,Annual Checkup,2023-11-02
14,Annual Checkup,2024-12-01
14,Annual Checkup,2023-04-30
14,Vaccination - DHPP,2023-08-27
14,Blood Test,2022-09-03
14,X-ray Examination,2022-04-16
14,Deworming,2022-12-13
14,Microchip Implant,2024-07-12
14,Vaccination - DHPP,2023-05-11
14,Tick Treatment,2024-11-10
15,X-ray Examination,2022-07-15
16,Tick Treatment,2023-03-14
16,Flea Treatment,2024-09-28
16,Deworming,2023-11-21
16,Neuter Surgery,2024-01-14
16,Neuter Surgery,2022-12-15
17,Vaccination - FVRCP,2023-01-03
18,Heartworm Prevention,2022-10-05
18,Annual Checkup,2024-08-16
19,Blood Test,2022-03-31
19,X-ray Examination,2024-06-25
19,Vaccination - DHPP,2023-04-02
19,Annual Checkup,2022-11-03
19,Dental Cleaning,2024-09-25
20,Tick Treatment,2023-05-16
20,Vaccination - DHPP,2024-09-14
20,Vaccination - DHPP,2022-03-14
21,Heartworm Prevention,2024-07-23
22,Blood Test,2022-05-26
22,Follow-up Check,2022-02-22
22,Follow-up Check,2023-10-29
22,Spay Surgery,2022-04-11
22,Vaccination - DHPP,2024-06-13
24,Heartworm Prevention,2024-10-11
24,Microchip Implant,2024-07-07
24,Vaccination - DHPP,2024-12-19
25,Flea Treatment,2024-08-15
25,Deworming,2023-09-01
25,Flea Treatment,2024-01-14
25,Vaccination - DHPP,2022-03-19
